
"Nombre","Categoria","Localidad","Comarca","Altitud","Latitud","Longitud","UTMx","UTMy"
"Tuca Peñablanca","Naturaleza y paisajístico","Benasque","LA RIBAGORZA","2139.0","42.688274","0.632079","",""
"Campamén plain","Naturaleza y paisajístico","Benasque","LA RIBAGORZA","1468.0","42.65533","0.577339","",""
"Hospitales de los siglos XVIII-XIX","Monumentos","Benasque","LA RIBAGORZA","1758.0","42.68612","0.61694","",""
"Centro de interpretación. Parque Posets-Maladeta","Centros expositivos","Benasque","LA RIBAGORZA","1144.0","42.60688","0.524376","",""
"Oficina de turismo","Otros","Benasque","LA RIBAGORZA","1139.0","42.603428","0.52293","",""
"Cascada de Gorgutes","Naturaleza y paisajístico","Benasque","LA RIBAGORZA","1776.0","42.68695","0.609766","",""
"Forau de la Llana","Monumentos","Benasque","LA RIBAGORZA","1736.0","42.685093","0.607546","",""
"Hospital medieval","Monumentos","Benasque","LA RIBAGORZA","1770.0","42.68373","0.60478","",""
"Casa Mata","Monumentos","Cerler","LA RIBAGORZA","1547.0","42.59488","0.538731","",""
"Casa Llorgodo","Monumentos","Cerler","LA RIBAGORZA","1545.0","42.59465","0.538767","",""
"Casa Antondoz","Monumentos","Cerler","LA RIBAGORZA","1542.0","42.59471","0.53855","",""
"Iglesia de San Lorenzo","Monumentos","Cerler","LA RIBAGORZA","1540.0","42.59467","0.538354","",""
"Casa Casalero","Monumentos","Cerler","LA RIBAGORZA","1544.0","42.594524","0.538885","",""
"Capilla del obispo Cornel","Monumentos","Cerler","LA RIBAGORZA","1540.0","42.59438","0.53867","",""
"Casa Cornel","Monumentos","Cerler","LA RIBAGORZA","1540.0","42.59429","0.538677","",""
"Casa Barbero","Monumentos","Cerler","LA RIBAGORZA","1540.0","42.594254","0.538623","",""
"Casa Betrán","Monumentos","Cerler","LA RIBAGORZA","1538.0","42.593937","0.538754","",""
"Casa Santamaría","Monumentos","Cerler","LA RIBAGORZA","1537.0","42.59376","0.538958","",""
"Casa Esperanseta","Monumentos","Cerler","LA RIBAGORZA","1537.0","42.593193","0.53886","",""
"Lavadero","Monumentos","Cerler","LA RIBAGORZA","1543.0","42.59218","0.539129","",""
"Casa Sort","Monumentos","Anciles","LA RIBAGORZA","1114.0","42.59119","0.51048","",""
"Casa Escuy","Monumentos","Anciles","LA RIBAGORZA","1115.0","42.59118","0.5105","",""
"Casa Sebastián","Monumentos","Anciles","LA RIBAGORZA","1111.0","42.59068","0.510406","",""
